STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
Avonlie Solar Farm,AVLSF1,AVLSF1,NSW1,0.00000000,Solar,ISP2024
Beryl Solar Farm,BERYLSF1,BERYLSF1,NSW1,0.00000000,Solar,ISP2024
Bomen Solar Farm,BOMENSF1,BOMENSF1,NSW1,0.00000000,Solar,ISP2024
Broken Hill Solar Plant,BROKENH1,BROKENH1,NSW1,0.00000000,Solar,ISP2024
Capital East Solar Farm,CESF1,CESF1,NSW1,0.00000000,Solar,ISP2024
Coleambally Solar Farm,COLEASF1,COLEASF1,NSW1,0.00000000,Solar,ISP2024
Corowa Solar Farm,CRWASF1,CRWASF1,NSW1,0.00000000,Solar,ISP2024
Culcairn Solar Farm,CUSF1,CUSF1,NSW1,0.00000000,Solar,ISP2024
Darlington Point Solar Farm,DARLSF1,DARLSF1,NSW1,0.00000000,Solar,ISP2024
Finely Solar Farm,FINLYSF1,FINLYSF1,NSW1,0.00000000,Solar,ISP2024
Glenellen Solar Farm,GESF1,GESF1,NSW1,0.00000000,Solar,ISP2024
Gunnedah Solar Farm,GNNDHSF1,GNNDHSF1,NSW1,0.00000000,Solar,ISP2024
Goonumbla Solar Farm,GOONSF1,GOONSF1,NSW1,0.00000000,Solar,ISP2024
Griffith Solar Farm,GRIFSF1,GRIFSF1,NSW1,0.00000000,Solar,ISP2024
Gullen Range Wind Farm,GULLRSF1,GULLRSF1,NSW1,0.00000000,Solar,ISP2024
Hillston Sun Farm,HILLSTN1,HILLSTN1,NSW1,0.00000000,Solar,ISP2024
Jemalong Solar Project,JEMALNG1,JEMALNG1,NSW1,0.00000000,Solar,ISP2024
Junee Solar Farm,JUNEESF1,JUNEESF1,NSW1,0.00000000,Solar,ISP2024
Limondale Solar Farm 1,LIMOSF11,LIMOSF11,NSW1,0.00000000,Solar,ISP2024
Limondale Solar Farm 2,LIMOSF21,LIMOSF21,NSW1,0.00000000,Solar,ISP2024
Manildra Solar Farm,MANSLR1,MANSLR1,NSW1,0.00000000,Solar,ISP2024
Metz Solar Farm,METZSF1,METZSF1,NSW1,0.00000000,Solar,ISP2024
Mugga Lane Solar Park,MLSP1,MLSP1,NSW1,0.00000000,Solar,ISP2024
Molong Solar Farm,MOLNGSF1,MOLNGSF1,NSW1,0.00000000,Solar,ISP2024
MOREE SOLAR FARM,MOREESF1,MOREESF1,NSW1,0.00000000,Solar,ISP2024
Mulwala Solar Farm,MULWASF1,MULWASF1,NSW1,0.00000000,Solar,ISP2024
Narromine Solar Farm,NASF1,NASF1,NSW1,0.00000000,Solar,ISP2024
NEVERTIRE SOLAR FARM,NEVERSF1,NEVERSF1,NSW1,0.00000000,Solar,ISP2024
New England Solar Farm,NEWENSF1,NEWENSF1,NSW1,0.00000000,Solar,ISP2024
New England Solar Farm,NEWENSF2,NEWENSF2,NSW1,0.00000000,Solar,ISP2024
Nyngan Solar Plant,NYNGAN1,NYNGAN1,NSW1,0.00000000,Solar,ISP2024
Parkes Solar Farm,PARSF1,PARSF1,NSW1,0.00000000,Solar,ISP2024
Quorn Park Solar Hybrid,QPSFB1,QUORNB1,NSW1,0.00000000,Solar,ISP2024
Royalla Solar Farm,ROYALLA1,ROYALLA1,NSW1,0.00000000,Solar,ISP2024
Sebastopol Solar Farm,SEBSF1,SEBSF1,NSW1,0.00000000,Solar,ISP2024
South Keswick Solar Farm,SKSF1,SKSF1,NSW1,0.00000000,Solar,ISP2024
Stubbo Solar Farm 1,STUBSF1,STUBSF1,NSW1,0.00000000,Solar,ISP2022
Stubbo Solar Farm 2,STUBSF2,STUBSF2,NSW1,0.00000000,Solar,ISP2022
Sunraysia Solar Farm,SUNRSF1,SUNRSF1,NSW1,0.00000000,Solar,ISP2024
Suntop Solar Farm,SUNTPSF1,SUNTPSF1,NSW1,0.00000000,Solar,ISP2024
Wagga North Solar Farm,WAGGNSF1,WAGGNSF1,NSW1,0.00000000,Solar,ISP2024
Wellington Solar Farm,WELLSF1,WELLSF1,NSW1,0.00000000,Solar,ISP2024
Wellington North Solar Farm,WELNSF1,WELNSF1,NSW1,0.00000000,Solar,ISP2024
Walla Walla Solar Farm 1,WLWLSF1,WLWLSF1,NSW1,0.00000000,Solar,ISP2024
Walla Walla Solar Farm 2,WLWLSF2,WLWLSF2,NSW1,0.00000000,Solar,ISP2024
Wollar Solar Farm,WOLARSF1,WOLARSF1,NSW1,0.00000000,Solar,ISP 2020
White Rock Solar Farm,WRSF1,WRSF1,NSW1,0.00000000,Solar,ISP2024
West Wyalong Solar Farm,WSTWYSF1,WSTWYSF1,NSW1,0.00000000,Solar,ISP2024
Wyalong Solar Farm,WYASF1,WYASF1,NSW1,0.00000000,Solar,ISP2024
