bus_i,zone_substation,bus_base_Pd_MW,zone_median_demand_MW,zone_mean_demand_MW,zone_peak_demand_MW,scale_i
1,Tomalpin 33_11kV,0.0,0.2257,0.48501093224561953,1.7499,0.0
2,Berkeley Vale 132_11kV,0.1,20.277,20.3200068785429,41.59,0.0049316960102579275
3,Rutherford 33_11kV,0.09,10.8457,10.811531413075457,28.58915,0.008298219570889845
4,Bankstown 132_11kV,0.12,18.21549,18.535541770413207,42.68458,0.006587799724300581
5,Denman 66_11kV,0.06,1.9873,2.0139080240067058,5.7689,0.030191717405525082
6,Mt Thorley 66_11kV,0.06,2.82603,2.7941155938026045,5.9473,0.02123119712104967
7,Macquarie Park 132_11kV,0.2,37.39244,38.6481395518939,69.65026,0.005348674758854999
8,Mosman 132_11kV,0.2,28.58355,29.531064490412945,66.27601,0.006997031509382145
9,Mitchell Line 66_11kV,0.06,3.12713,3.235381228892745,8.4648,0.01918692219383268
10,Galston 132_11kV,0.06,3.59872,3.672123237078002,10.2224,0.016672594700337898
11,Camperdown 33_5kV,0.045,1.4298,1.4145278256154157,2.4256,0.03147293327738145
12,Pelican 33_11kV,0.06,4.2148,4.268287598722949,10.6135,0.01423555091582044
13,Tomago 33_11kV,0.06,4.1759,4.513315789485634,10.6423,0.014368160157091883
14,Jesmond 132_11kV,0.12,15.41279,15.661802685380389,42.38029,0.007785741582153523
15,Scone 66_11kV,0.06,6.4308,6.546524719376386,15.6631,0.00933009889904833
16,Port Botany 33_11kV,0.06,10.85699,10.829896189940829,16.0127,0.0055263935952782495
17,Mayfield West 132_11kV,0.06,9.7673,9.937438120020856,22.5788,0.006142946361840017
18,Nelson Bay 33_11kV,0.09,9.578949999999999,9.390565449307527,22.6377,0.009395601814395107
19,Balgowlah North 132_11kV,0.09,10.863,11.534163041351773,28.68247,0.008285004142502071
20,Summer Hill 33_11kV,0.09,18.0889,18.812013040222546,38.11575,0.004975426919270934
21,Dalley St 132_11kV,0.09,11.21049,12.318068212470795,34.73582,0.008028195020913448
22,Avoca 66_11kV,0.09,13.27195,13.21846811814879,37.73436,0.006781219037142243
23,Turramurra 33_11kV,0.09,14.3662,15.147889628978977,35.4567,0.006264704653979479
24,City Central 132_11kV,0.42,39.52,44.1858908455775,96.368,0.010627530364372468
25,City South 132_11kV,0.42,42.039925,45.383794140629156,93.54006,0.009990503075350397
26,Cardiff 33_11kV,0.06,6.210075,6.221738990555575,21.1779,0.009661719061363993
27,Tarro 33_11kV,0.06,9.86186,9.747822104809488,18.50488,0.006084044997596802
28,Toronto West 132_11kV,0.06,6.7371,6.691210601020114,18.8377,0.008905909070668388
29,Newcastle CBD 33_11kV,0.12,18.3189,18.772551953734528,43.13526,0.006550611663364066
30,Zetland 132_11kV,0.2,33.72655,33.608975918801576,66.01234,0.005930046209885091
31,Kingsford 132_11kV,0.15,31.75016,32.105850053711315,57.4226,0.004724385640891258
32,Pennant Hills 132_11kV,0.21,22.529775,22.921472747180303,70.8136,0.009320998545258441
33,Nulkaba 33_11kV,0.06,6.2764,6.486469030468599,18.3426,0.009559620164425468
